modified_Smelly_Classes,145,,BugsbeforeSmells,BugsAfterSmells,commits,churn,ex,2.0.10,2.1.2,2.1.9,2.2.0,2.2.1,2.2.5,2.3.3,2.3.10,2.5.3,2.5.5,2.5.7,2.5.9,2.6.0,2.6.2,2.6.3,2.6.6,2.6.9,2.8.0,2.9.9,3.0.8,3.1.2,3.1.6,3.1.7,3.1.9,3.1.11,3.2.0,3.2.2,3.4.0,3.5.0,3.8.1
grade/import/csv/index.php,36,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grade/report/index.php,36,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grade/report/overview/lib.php,138,Medium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group/index.php,36,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group/overview.php,220,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
install/lang/ms/moodle.php,2252,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lang/en/admin.php,115,Medium,42,19,3,57,3,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
lang/en/auth.php,152,Medium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lang/en/error.php,607,Large,20,5,3,135,3,117,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
lang/en/filters.php,326,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lang/en/grades.php,877,Large,16,5,2,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
